Token,SHAP Importance,Importance Ratio,Cumulative Importance
 az,0.011996748275123537,0.00048660885072621135,0.7690596965470139
 san,0.011979760395156013,0.000485919792945078,0.769545616339959
oso,0.011965944387373471,0.0004853593917834876,0.7700309757317425
 guerre,0.011946200276724994,0.0004845585365208004,0.7705155342682634
dí,0.011879757170875868,0.0004818634892767929,0.7709973977575402
 j,0.011857810773191944,0.000480973305444504,0.7714783710629847
car,0.011694248648182977,0.0004743389428782751,0.771952710005863
cel,0.011682373094594195,0.00047385724989355545,0.7724265672557565
vesti,0.011667649106432995,0.0004732600194780365,0.7728998272752345
 llevaba,0.01161991577828303,0.0004713238731640761,0.7733711511483986
 periodista,0.011565856347798172,0.00046913112920247296,0.773840282277601
 fue,0.011551142275112797,0.000468534300975796,0.7743088165785769
eño,0.011537049231784684,0.00046796266277352176,0.7747767792413504
 Aunque,0.011536065023392439,0.00046792274157957467,0.7752447019829299
unto,0.01131085455417633,0.0004587878155910044,0.775703489798521
esi,0.011295529392858347,0.0004581662005529027,0.7761616559990739
LS,0.011287648120389722,0.0004578465225159658,0.77661950252159
 dijo,0.011231094233564425,0.00045555259909263094,0.7770750551206825
 pari,0.011228500314367314,0.0004554473852454754,0.777530502505928
ent,0.011220531090377616,0.0004551241397427879,0.7779856266456708
ote,0.011201231411126044,0.00045434131138591844,0.7784399679570567
 significa,0.011177153093740344,0.00045336465320473677,0.7788933326102615
 quer,0.01115282103419304,0.000452377702802796,0.7793457103130643
